sample,Gene,Z-score,group,replicate
S_1,9530068E07Rik,1.2065122335614695,Somite,1
S_2,9530068E07Rik,-1.4071441949040422,Somite,2
S_3,9530068E07Rik,-0.0879330137169227,Somite,3
A_1,A0A087WPF7,0.3722894177061226,Anterior,1
A_2,A0A087WPF7,-0.3976004323043316,Anterior,2
A_3,A0A087WPF7,0.1089295802325641,Anterior,3
P_1,A0A087WPF7,-1.715273463718692,Posterior,1
P_2,A0A087WPF7,1.7418229694978231,Posterior,2
P_3,A0A087WPF7,-1.432841846810323,Posterior,3
S_1,A0A087WPF7,0.6702429286467781,Somite,1
S_2,A0A087WPF7,0.3372647122816306,Somite,2
S_3,A0A087WPF7,0.3151661344685204,Somite,3
A_1,A0A0A0MQ99,0.314134092840805,Anterior,1
A_2,A0A0A0MQ99,0.5183454802630468,Anterior,2
A_3,A0A0A0MQ99,-0.1802109476363487,Anterior,3
P_1,A0A0A0MQ99,-2.142443886319886,Posterior,1
P_2,A0A0A0MQ99,-1.1264353159248337,Posterior,2
P_3,A0A0A0MQ99,0.6786193363357121,Posterior,3
S_1,A0A0A0MQ99,-0.1473708601747432,Somite,1
S_2,A0A0A0MQ99,0.8369755536080691,Somite,2
S_3,A0A0A0MQ99,1.2483865470081486,Somite,3
A_1,A0A0A0MQD5,-0.4986322444996924,Anterior,1
A_2,A0A0A0MQD5,-1.34530236054497,Anterior,2
A_3,A0A0A0MQD5,0.4910649703832062,Anterior,3
P_1,A0A0A0MQD5,-1.4455467711283183,Posterior,1
P_2,A0A0A0MQD5,-0.4485879264847336,Posterior,2
P_3,A0A0A0MQD5,-0.2121519404957239,Posterior,3
S_1,A0A0A0MQD5,0.9512053818345232,Somite,1
S_2,A0A0A0MQD5,0.8572153901113937,Somite,2
S_3,A0A0A0MQD5,1.6507355008242848,Somite,3
A_1,A0A0A0U6W1,-0.1954817332542511,Anterior,1
A_2,A0A0A0U6W1,0.0627070805175312,Anterior,2
A_3,A0A0A0U6W1,1.0464769930574225,Anterior,3
P_1,A0A0A0U6W1,-0.2866707887461546,Posterior,1
P_2,A0A0A0U6W1,0.1990278885802718,Posterior,2
P_3,A0A0A0U6W1,0.27176724595494,Posterior,3
S_1,A0A0A0U6W1,-2.498529412918188,Somite,1
S_2,A0A0A0U6W1,1.1712322654536702,Somite,2
S_3,A0A0A0U6W1,0.2294704613546989,Somite,3
A_1,A0A0D5ZY64,-0.780715785452396,Anterior,1
A_2,A0A0D5ZY64,0.7363595692174549,Anterior,2
